ZIP Code,Postal City 1,Postal City 2,Postal City 3,Not Acceptable 1,Not Acceptable 2,Not Acceptable 3,Location
90731,San Pedro,,,Fort Macarthur,Terminal Island,,"90731(33.732721507000065, -118.29229799399997)"
90732,San Pedro,,,,,,"90732(33.73946061100003, -118.31340603099994)"
90740,Seal Beach,,,,,,"90740(33.761194329000034, -118.08841730099999)"
90744,Wilmington,,,,,,"90744(33.783723182000074, -118.26266940199997)"
90745,Carson,,,,,,"90745(33.82597401600003, -118.26966920499996)"
90746,Carson,,,,,,"90746(33.85888308700004, -118.26100960899998)"
90747,Carson,,,Cal State Univ Dom Hi,,,"90747(33.86715163300005, -118.25865896199997)"
90749,Carson,,,,,,"90749(33.843853713000044, -118.26332984199996)"
90755,Signal Hill,,,,,,"90755(33.799760597000045, -118.16687940999998)"
90802,Long Beach,,,,,,"90802(33.76935424900006, -118.184528823)"
90803,Long Beach,,,Belmont Shore,Naples,,"90803(33.76151151400006, -118.13748979299999)"
90804,Long Beach,,,East Long Beach,,,"90804(33.78173317000005, -118.15235840199995)"
90805,Long Beach,,,North Long Beach,,,"90805(33.862810972000034, -118.17910625599995)"
90806,Long Beach,,,,,,"90806(33.80148122000003, -118.18919970399998)"
90807,Long Beach,,,Bixby Knolls,,,"90807(33.83250021400005, -118.181317864)"
90808,Long Beach,,,,,,"90808(33.82496162900003, -118.11531722999996)"
90810,Long Beach,Carson,,Cabrillo,Dominguez,,"90810(33.813560335000034, -118.21653847799996)"
90813,Long Beach,,,,,,"90813(33.78137253400007, -118.18660573499994)"
90814,Long Beach,,,,,,"90814(33.771431161000066, -118.15235840199995)"
90815,Long Beach,,,,,,"90815(33.79356027400007, -118.12236917399997)"
90822,Long Beach,,,,,,"90822(33.79831371000006, -118.15136774099994)"
90831,Long Beach,,,,,,"90831(33.76740334100003, -118.19939743199996)"
90840,Long Beach,,,Ca State Univ Long Beach,,,"90840(33.77534166600003, -118.11346625799996)"
90846,Long Beach,,,,,,"90846(33.81634113800004, -118.15870645499996)"
90895,Carson,,,Lakeshore Learning,,,"90895(33.83926104200003, -118.27444871199998)"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
91746,La Puente,Bassett,Industry,,,,"91746(34.04617020400008, -117.98488885499995)"
91748,Rowland Heights,Industry,,,,,"91748(33.98518370700003, -117.90124749899996)"
91750,La Verne,,,,,,"91750(34.11586409200004, -117.77047586899994)"
91754,Monterey Park,,,,,,"91754(34.053161318000036, -118.13884977999999)"
91755,Monterey Park,,,,,,"91755(34.057562809000046, -118.11668590699998)"
91759,Mt Baldy,,,,,,"91759(34.237141886000074, -117.65801843599996)"
91762,Ontario,Montclair,,,,,"91762(34.05779309400003, -117.66328892799999)"
91763,Montclair,,,,,,"91763(34.07173187200004, -117.69951758399998)"
91765,Diamond Bar,,,,,,"91765(34.001864183000066, -117.81637650699997)"
91766,Pomona,,,,,,"91766(34.044180192000056, -117.75239630099998)"
91767,Pomona,,,,,,"91767(34.080760793000024, -117.73770583699996)"
91768,Pomona,,,,,,"91768(34.06396300200004, -117.77899642399996)"
